,0.00E+00,5.00E-04,1.00E-03,1.50E-03,2.00E-03
0,0.6551724137931032,6.294117647058829,3.4642857142857166,19.383720930232567,3.305555555555557
1,0.6551724137931032,6.294117647058829,3.4642857142857166,19.383720930232567,26.51612903225806
2,0.6551724137931103,4.723684210526314,14.210526315789474,25.25,33.02941176470588
4,0.6551724137931032,3.276315789473685,20.0,45.80357142857141,56.91666666666668
8,0.6551724137931032,1.382352941176471,16.641025641025642,15.975000000000005,16.54901960784314
16,0.6551724137931032,8.337837837837839,7.5,8.986842105263158,8.423076923076916
32,4.6,4.575757575757577,4.9125,3.060975609756099,2.875
