,0.00e+00,1.50e-03,3.00e-03
0,0.00016021772097693886,0.00018197561228874533,0.00022989825288801673
1,0.00016021772097693886,0.00018197561228874533,0.00022989825288801673
2,0.00016021772097693886,0.00018197561228874533,0.00022989825288801673
4,0.00016021772097693886,0.00018197561228874533,0.00022989825288801673
8,0.00016021772097693886,0.00018197561228874533,0.00022989825288801673
16,0.00016021772097693886,0.00018197561228874533,0.00022989825288801673
32,0.00018124442805933575,0.0001449848950591421,0.00017988963142572296
